1	-0.305389	0.384444
6	-0.286325	0.243831
17	-0.607156	0.0102743
29	-0.901718	-0.311666
12	-0.678823	-0.53004
28	-0.344422	-0.252172
8	-0.110978	-0.4729
30	0.0972923	-0.078428
14	0.0413563	0.0669109
15	0.150551	0.0790868
18	0.344577	0.0486763
9	0.572863	0.118414
10	0.486976	0.0263316
32	0.249911	-0.380687
5	0.143493	-0.503222
3	0.260304	-0.799764
22	0.38298	-0.978553
19	0.673064	-0.937341
27	0.5883	-0.807191
16	0.688437	-0.704601
26	0.581438	-0.608568
13	0.993806	-0.328868
20	0.880084	0.218015
24	0.655903	0.805169
31	0.310259	0.664063
4	0.229919	0.50527
25	0.0698525	0.633202
23	0.218974	0.956176
2	-0.345099	0.96075
11	-0.759356	0.617184
21	-0.746035	0.27908
7	-0.515239	0.327011
